agency,sku,date,volume,price_regular,avg_population_2017,avg_yearly_household_income_2017,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,fifa_u_17_world_cup,football_gold_cup,beer_capital,music_fest,discount_in_percent,month,agency_num,sku_num
Agency_01,SKU_01,2013-01-01,80.676,1141.5,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,9.467128252299606,1,1,1
Agency_01,SKU_01,2013-02-01,98.064,1141.5,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,6.665160315374507,2,1,1
Agency_01,SKU_01,2013-03-01,133.704,1179.34582,153733,120207,1,1,0,0,0,0,0,0,0,0,0,1,6.631828058711396,3,1,1
Agency_01,SKU_01,2013-04-01,147.312,1226.6875,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,7.206737086666328,4,1,1
Agency_01,SKU_01,2013-05-01,175.608,1230.3311039999999,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,6.612973510584351,5,1,1
Agency_01,SKU_01,2013-06-01,180.792,1234.8320640000002,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,7.332227485793565,6,1,1
Agency_01,SKU_01,2013-07-01,149.796,1234.868827,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,6.234202962838255,7,1,1
Agency_01,SKU_01,2013-08-01,161.136,1234.8285859999999,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,3.8938520329978825,8,1,1
Agency_01,SKU_01,2013-09-01,147.744,1234.802266,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,6.693060441792226,9,1,1
Agency_01,SKU_01,2013-10-01,149.364,1235.169062,153733,120207,0,0,0,0,0,0,0,0,0,0,1,0,7.466491174145033,10,1,1
Agency_01,SKU_01,2013-11-01,95.36399999999999,1235.1875,153733,120207,0,0,0,0,0,0,1,0,0,0,0,0,8.217438890856652,11,1,1
Agency_01,SKU_01,2013-12-01,104.544,1235.1875,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,14.225206051712796,12,1,1
Agency_01,SKU_01,2014-01-01,100.54799999999999,1235.1875,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,19.444922839649852,1,1,1
Agency_01,SKU_01,2014-02-01,123.552,1235.1875,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,9.984646703435713,2,1,1
Agency_01,SKU_01,2014-03-01,125.17200000000001,1235.1875,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,10.277412862419673,3,1,1
Agency_01,SKU_01,2014-04-01,70.524,1235.1875,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,10.214518281637403,4,1,1
Agency_01,SKU_01,2014-05-01,21.924,1264.2725,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,0.5602035953483129,5,1,1
Agency_01,SKU_01,2014-06-01,66.744,1272.981618,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,0.5845470896658305,6,1,1
Agency_01,SKU_01,2014-07-01,89.1,1275.48136,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,0.3131772933161485,7,1,1
Agency_01,SKU_01,2014-08-01,107.352,1285.586058,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,3.5835571421543837,8,1,1
Agency_01,SKU_01,2014-09-01,100.87200000000001,1303.6363310000002,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,8.043758639310274,9,1,1
Agency_01,SKU_01,2014-10-01,113.292,1302.55649,153733,120207,0,0,0,0,0,0,0,0,0,0,1,0,4.167914283702199,10,1,1
Agency_01,SKU_01,2014-11-01,68.148,1301.5955529999999,153733,120207,0,0,0,0,0,0,1,1,0,0,0,0,4.604571125175012,11,1,1
Agency_01,SKU_01,2014-12-01,75.492,1301.676949,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,5.912300210825966,12,1,1
Agency_01,SKU_01,2015-01-01,41.58,1300.773539,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,4.557802432357136,1,1,1
Agency_01,SKU_01,2015-02-01,58.32,1302.179167,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,4.739900050942836,2,1,1
Agency_01,SKU_01,2015-03-01,87.37200000000001,1302.620523,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,9.28916026298474,3,1,1
Agency_01,SKU_01,2015-04-01,81.0,1348.404033,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,10.87203749115455,4,1,1
Agency_01,SKU_01,2015-05-01,91.90799999999999,1366.276385,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,11.987024865397203,5,1,1
Agency_01,SKU_01,2015-06-01,86.616,1418.3125,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,11.487710924073502,6,1,1
Agency_01,SKU_01,2015-07-01,135.0,1428.6553310000002,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,10.29632772916871,7,1,1
Agency_01,SKU_01,2015-08-01,97.632,1425.95824,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,9.939543881733872,8,1,1
Agency_01,SKU_01,2015-09-01,103.464,1411.650345,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,10.592097223622329,9,1,1
Agency_01,SKU_01,2015-10-01,92.016,1458.924161,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,17.948721256388872,10,1,1
Agency_01,SKU_01,2015-11-01,54.864,1460.677702,153733,120207,0,0,0,0,0,0,1,0,0,0,1,0,16.70767518843113,11,1,1
Agency_01,SKU_01,2015-12-01,40.608000000000004,1474.3610199999998,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,13.479393534156243,12,1,1
Agency_01,SKU_01,2016-01-01,55.836000000000006,1479.24208,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,14.166580699218615,1,1,1
Agency_01,SKU_01,2016-02-01,52.812,1478.4096789999999,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,13.999292073087139,2,1,1
Agency_01,SKU_01,2016-03-01,88.992,1478.920943,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,14.309745561565151,3,1,1
Agency_01,SKU_01,2016-04-01,66.63600000000001,1505.7306820000001,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,11.569033365822055,4,1,1
Agency_01,SKU_01,2016-05-01,49.14,1521.457746,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,12.110183176917486,5,1,1
Agency_01,SKU_01,2016-06-01,4.32,1492.64375,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,13.205281702348604,6,1,1
Agency_01,SKU_01,2016-07-01,54.431999999999995,1470.199777,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,18.911322824938775,7,1,1
Agency_01,SKU_01,2016-08-01,81.432,1465.381963,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,18.804880635752713,8,1,1
Agency_01,SKU_01,2016-09-01,75.384,1570.018624,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,13.393710990781212,9,1,1
Agency_01,SKU_01,2016-10-01,61.128,1568.092535,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,12.785129609714009,10,1,1
Agency_01,SKU_01,2016-11-01,43.74,1556.3396599999999,153733,120207,0,0,0,0,0,0,1,0,0,0,1,0,12.606552158415084,11,1,1
Agency_01,SKU_01,2016-12-01,29.592,1572.926095,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,13.745898150415007,12,1,1
Agency_01,SKU_01,2017-01-01,40.931999999999995,1600.063324,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,12.356505085419982,1,1,1
Agency_01,SKU_01,2017-02-01,45.576,1620.772215,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,13.135295264177515,2,1,1
Agency_01,SKU_01,2017-03-01,47.736000000000004,1605.027149,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,12.737693448199733,3,1,1
Agency_01,SKU_01,2017-04-01,63.72,1595.157309,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,20.280769061128378,4,1,1
Agency_01,SKU_01,2017-05-01,60.696000000000005,1672.635787,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,16.823621148553126,5,1,1
Agency_01,SKU_01,2017-06-01,84.24,1687.040865,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,16.61426873616366,6,1,1
Agency_01,SKU_01,2017-07-01,59.292,1688.7961059999998,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,17.246424418271367,7,1,1
Agency_01,SKU_01,2017-08-01,66.42,1689.8695120000002,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,17.18563681619933,8,1,1
Agency_01,SKU_01,2017-09-01,95.904,1690.939823,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,29.93787313506307,9,1,1
Agency_01,SKU_01,2017-10-01,52.812,1688.08602,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,24.27216765884952,10,1,1
Agency_01,SKU_01,2017-11-01,37.908,1622.877493,153733,120207,0,0,0,0,0,0,1,0,0,0,1,0,17.315702707819856,11,1,1
Agency_01,SKU_01,2017-12-01,35.532,1663.797492,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,16.449430974379663,12,1,1
Agency_01,SKU_02,2013-01-01,78.408,1074.157799,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,9.7724552759124,1,1,2
Agency_01,SKU_02,2013-02-01,99.25200000000001,1074.944845,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,7.255635790318155,2,1,2
Agency_01,SKU_02,2013-03-01,137.268,1128.9898210000001,153733,120207,1,1,0,0,0,0,0,0,0,0,0,1,5.9980694901234175,3,1,2
Agency_01,SKU_02,2013-04-01,135.864,1201.6126789999998,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,7.321490155481292,4,1,2
Agency_01,SKU_02,2013-05-01,167.832,1201.717182,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,9.614402517546761,5,1,2
Agency_01,SKU_02,2013-06-01,153.684,1201.627986,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,8.960506267702725,6,1,2
Agency_01,SKU_02,2013-07-01,116.316,1201.837047,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,6.837311281518517,7,1,2
Agency_01,SKU_02,2013-08-01,106.272,1201.748476,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,2.9598483135500975,8,1,2
Agency_01,SKU_02,2013-09-01,106.164,1201.931142,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,6.05493887768822,9,1,2
Agency_01,SKU_02,2013-10-01,103.35600000000001,1201.8996220000001,153733,120207,0,0,0,0,0,0,0,0,0,0,1,0,9.039107676830602,10,1,2
Agency_01,SKU_02,2013-11-01,76.896,1201.735341,153733,120207,0,0,0,0,0,0,1,0,0,0,0,0,3.6891436481437383,11,1,2
Agency_01,SKU_02,2013-12-01,70.632,1201.633124,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,6.614946310351545,12,1,2
Agency_01,SKU_02,2014-01-01,67.608,1201.4925119999998,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,5.908170154288903,1,1,2
Agency_01,SKU_02,2014-02-01,79.056,1201.718665,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,9.958962067049196,2,1,2
Agency_01,SKU_02,2014-03-01,75.6,1201.745804,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,3.1241527846432993,3,1,2
Agency_01,SKU_02,2014-04-01,132.84,1201.5822150000001,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,1.1897929930662297,4,1,2
Agency_01,SKU_02,2014-05-01,140.292,1262.855995,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,2.4305259761624685,5,1,2
Agency_01,SKU_02,2014-06-01,171.396,1263.9723529999999,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,4.2643655038869355,6,1,2
Agency_01,SKU_02,2014-07-01,124.848,1269.054553,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,10.790104308463091,7,1,2
Agency_01,SKU_02,2014-08-01,105.73200000000001,1278.353039,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,9.422750236055878,8,1,2
Agency_01,SKU_02,2014-09-01,92.124,1299.7128519999999,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,10.310042852449998,9,1,2
Agency_01,SKU_02,2014-10-01,78.408,1299.830062,153733,120207,0,0,0,0,0,0,0,0,0,0,1,0,15.458393898878759,10,1,2
Agency_01,SKU_02,2014-11-01,74.08800000000001,1298.9757650000001,153733,120207,0,0,0,0,0,0,1,1,0,0,0,0,9.920682084472915,11,1,2
Agency_01,SKU_02,2014-12-01,67.608,1301.3835869999998,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,8.296029017000354,12,1,2
Agency_01,SKU_02,2015-01-01,59.076,1302.3646019999999,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,6.809079797148848,1,1,2
Agency_01,SKU_02,2015-02-01,47.628,1302.1753119999998,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,9.472865586012585,2,1,2
Agency_01,SKU_02,2015-03-01,53.46,1306.7536619999998,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,13.193492011044391,3,1,2
Agency_01,SKU_02,2015-04-01,57.456,1347.1281720000002,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,13.91718062889713,4,1,2
Agency_01,SKU_02,2015-05-01,64.908,1366.673077,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,13.201310030635804,5,1,2
Agency_01,SKU_02,2015-06-01,73.656,1406.6875,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,13.543081743457591,6,1,2
Agency_01,SKU_02,2015-07-01,75.6,1414.815298,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,25.218602138694152,7,1,2
Agency_01,SKU_02,2015-08-01,74.952,1420.749008,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,10.131867922444467,8,1,2
Agency_01,SKU_02,2015-09-01,52.596000000000004,1417.628348,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,10.002401207625965,9,1,2
Agency_01,SKU_02,2015-10-01,46.008,1458.412124,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,19.847037283680727,10,1,2
Agency_01,SKU_02,2015-11-01,31.535999999999998,1458.2168800000002,153733,120207,0,0,0,0,0,0,1,0,0,0,1,0,19.327514025211393,11,1,2
Agency_01,SKU_02,2015-12-01,32.832,1471.550154,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,12.124088092752833,12,1,2
Agency_01,SKU_02,2016-01-01,26.676,1480.8819449999999,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,16.695160328934932,1,1,2
Agency_01,SKU_02,2016-02-01,33.696,1476.092052,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,14.74226317424816,2,1,2
Agency_01,SKU_02,2016-03-01,47.843999999999994,1474.718512,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,13.896752250167726,3,1,2
Agency_01,SKU_02,2016-04-01,37.26,1503.533451,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,12.519979377565575,4,1,2
Agency_01,SKU_02,2016-05-01,74.844,1514.5109380000001,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,12.773770868599696,5,1,2
Agency_01,SKU_02,2016-06-01,24.948,1499.920625,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,15.100215719748505,6,1,2
Agency_01,SKU_02,2016-07-01,28.944000000000003,1451.674207,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,18.15184114516681,7,1,2
Agency_01,SKU_02,2016-08-01,42.983999999999995,1438.287217,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,17.160309713021665,8,1,2
Agency_01,SKU_02,2016-09-01,25.596,1517.793512,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,12.635538331382723,9,1,2
Agency_01,SKU_02,2016-10-01,40.608000000000004,1530.828125,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,13.277377105937353,10,1,2
Agency_01,SKU_02,2016-11-01,26.892,1522.649347,153733,120207,0,0,0,0,0,0,1,0,0,0,1,0,13.280477898500683,11,1,2
Agency_01,SKU_02,2016-12-01,30.888,1531.756556,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,13.581720814909962,12,1,2
Agency_01,SKU_02,2017-01-01,20.52,1572.897039,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,13.346684480598098,1,1,2
Agency_01,SKU_02,2017-02-01,22.896,1564.061026,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,12.081024708047421,2,1,2
Agency_01,SKU_02,2017-03-01,23.436,1546.349367,153733,120207,0,0,0,0,0,0,0,0,0,0,0,1,12.513193986388456,3,1,2
Agency_01,SKU_02,2017-04-01,30.671999999999997,1555.878961,153733,120207,1,1,0,0,0,0,0,0,0,0,0,0,19.47080258770849,4,1,2
Agency_01,SKU_02,2017-05-01,29.808000000000003,1664.514946,153733,120207,0,0,0,0,1,0,0,0,0,0,0,0,17.329737392457154,5,1,2
Agency_01,SKU_02,2017-06-01,43.848,1686.823276,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,17.87128831390396,6,1,2
Agency_01,SKU_02,2017-07-01,32.508,1687.5116280000002,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,18.409852225326414,7,1,2
Agency_01,SKU_02,2017-08-01,26.892,1687.905121,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,18.104399719988763,8,1,2
Agency_01,SKU_02,2017-09-01,36.611999999999995,1686.5743,153733,120207,0,0,0,0,0,1,0,0,0,0,0,0,26.148136136071802,9,1,2
Agency_01,SKU_02,2017-10-01,32.94,1687.2332920000001,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,23.694736222642053,10,1,2
Agency_01,SKU_02,2017-11-01,24.191999999999997,1672.707589,153733,120207,0,0,0,0,0,0,1,0,0,0,1,0,19.209976215394573,11,1,2
Agency_01,SKU_02,2017-12-01,17.172,1697.575472,153733,120207,0,0,0,1,0,0,0,0,0,0,0,0,16.782490422316847,12,1,2
Agency_01,SKU_03,2013-01-01,35.955,1239.734043,153733,120207,0,0,1,0,0,0,0,0,0,0,0,0,7.891953726078328,1,1,3
Agency_01,SKU_03,2013-02-01,45.684,1239.734043,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,6.852054477300501,2,1,3
Agency_01,SKU_03,2013-03-01,53.298,1265.808511,153733,120207,1,1,0,0,0,0,0,0,0,0,0,1,6.507628388035069,3,1,3
Agency_01,SKU_03,2013-04-01,61.8426,1304.920213,153733,120207,0,0,0,0,0,0,0,0,0,0,0,0,8.205533789214128,4,1,3
