@relation Gun_Point

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute target {1,2}

@data
-0.64789,-0.64199,-0.63819,-0.63826,-0.63835,-0.6387,-0.64305,-0.64377,-0.64505,-0.64712,-0.64915,-0.65125,-0.65729,-0.6622,-0.66123,-0.66099,-0.66156,-0.66226,-0.66191,-0.66274,-0.66093,-0.66345,-0.66219,-0.66234,-0.66171,-0.66139,-0.66141,-0.66145,-0.66037,-0.65911,-0.65974,-0.65818,-0.6584,-0.65735,-0.65852,-0.65849,-0.65737,-0.65436,-0.65252,-0.65132,-0.64814,-0.64733,-0.6471,-0.64486,-0.6436,-0.64349,-0.64265,-0.6421,-0.64448,-0.64889,-0.65766,-0.6612,-0.64966,-0.61017,-0.53743,-0.46503,-0.35853,-0.28314,-0.17745,0.15825,0.35028,0.48241,0.60381,0.7971,0.98755,1.2038,1.4065,1.5962,1.7128,1.7788,1.7938,1.7971,1.8102,1.8206,1.8172,1.8316,1.8316,1.829,1.8454,1.8453,1.8458,1.8425,1.8354,1.8364,1.8407,1.8325,1.8318,1.8292,1.8224,1.8137,1.8066,1.7817,1.7682,1.715,1.6362,1.5421,1.4168,1.2954,1.1717,1.0295,0.8327,0.74874,0.48444,0.468,0.13619,-0.020964,-0.24145,-0.42928,-0.54788,-0.6577,-0.74082,-0.77535,-0.78246,-0.76929,-0.74328,-0.71938,-0.69688,-0.68631,-0.67374,-0.66839,-0.66464,-0.66412,-0.6643,-0.6612,-0.65935,-0.65258,-0.64332,-0.63887,-0.63656,-0.63317,-0.63304,-0.63301,-0.63303,-0.63522,-0.63447,-0.63579,-0.63628,-0.6354,-0.63607,-0.63755,-0.63926,-0.63972,-0.63973,-0.64018,-0.63923,-0.63939,-0.64023,-0.64043,-0.63867,-0.63866,2
-0.64443,-0.6454,-0.64706,-0.64749,-0.64691,-0.64388,-0.63973,-0.63809,-0.6353,-0.63538,-0.63411,-0.63372,-0.63205,-0.63228,-0.62956,-0.6287,-0.62747,-0.62409,-0.62038,-0.61557,-0.61236,-0.60895,-0.60814,-0.60875,-0.60932,-0.60964,-0.61068,-0.61113,-0.61108,-0.61171,-0.61088,-0.60945,-0.60894,-0.60689,-0.60496,-0.60258,-0.60001,-0.59801,-0.59754,-0.59777,-0.59699,-0.59715,-0.59554,-0.59359,-0.59578,-0.59911,-0.59121,-0.56584,-0.50726,-0.47291,-0.39633,-0.33415,-0.2,-0.084494,0.10084,0.31489,0.52512,0.69455,0.80781,0.92774,1.0859,1.2465,1.4187,1.5884,1.7182,1.8249,1.8472,1.8518,1.8724,1.8872,1.8986,1.9094,1.9125,1.9097,1.9175,1.919,1.919,1.9252,1.9172,1.92,1.9212,1.9229,1.9149,1.9197,1.9002,1.8759,1.8251,1.7656,1.6632,1.5312,1.3838,1.2475,1.1144,0.97499,0.86271,0.72754,0.62537,0.46326,0.22508,-0.012778,-0.23727,-0.37892,-0.49682,-0.61293,-0.71133,-0.76952,-0.80119,-0.81305,-0.8142,-0.80859,-0.79895,-0.78046,-0.76326,-0.75208,-0.73252,-0.72218,-0.71058,-0.7005,-0.69251,-0.68554,-0.67507,-0.66984,-0.66321,-0.65961,-0.65295,-0.64982,-0.6472,-0.6455,-0.64535,-0.64491,-0.64518,-0.64599,-0.64499,-0.64382,-0.64296,-0.64283,-0.64348,-0.64357,-0.64187,-0.64157,-0.64114,-0.64143,-0.63927,-0.6378,-0.63768,-0.63526,-0.63549,-0.63493,-0.6345,-0.6316,2
-0.77835,-0.77828,-0.77715,-0.77768,-0.7759,-0.77242,-0.76546,-0.76228,-0.76375,-0.76536,-0.76562,-0.76598,-0.76857,-0.77674,-0.78191,-0.78205,-0.77799,-0.77679,-0.77608,-0.77861,-0.78267,-0.78045,-0.777,-0.76997,-0.76982,-0.76871,-0.7699,-0.77251,-0.77291,-0.77447,-0.77414,-0.76995,-0.769,-0.76947,-0.77118,-0.77031,-0.76105,-0.71917,-0.66384,-0.63927,-0.63442,-0.6287,-0.63341,-0.62427,-0.59826,-0.57381,-0.56252,-0.55018,-0.5282,-0.47662,-0.39207,-0.3089,-0.011157,0.28712,0.438,0.61875,0.88715,1.1356,1.3415,1.52,1.6115,1.6558,1.675,1.6882,1.6986,1.7035,1.7037,1.7005,1.7,1.6983,1.697,1.6951,1.6967,1.6966,1.6942,1.6887,1.6887,1.6866,1.6782,1.6716,1.6679,1.6622,1.6624,1.6555,1.6484,1.6373,1.6372,1.6344,1.6221,1.5974,1.5676,1.5063,1.4058,1.2812,1.1392,0.97936,0.80906,0.64692,0.47169,0.30269,0.18774,0.039058,-0.078698,-0.20821,-0.31264,-0.389,-0.45182,-0.49966,-0.53307,-0.55715,-0.56284,-0.57744,-0.59807,-0.6201,-0.63717,-0.64029,-0.63696,-0.63049,-0.60814,-0.58754,-0.57186,-0.55389,-0.53961,-0.53883,-0.55839,-0.58864,-0.62929,-0.66251,-0.69088,-0.70717,-0.72228,-0.73265,-0.73874,-0.73924,-0.73841,-0.73719,-0.73141,-0.7274,-0.72749,-0.72378,-0.72206,-0.71871,-0.71353,-0.71002,-0.70413,-0.70326,-0.70339,-0.7042,-0.70761,-0.70712,1
-0.75006,-0.7481,-0.74616,-0.74593,-0.74377,-0.74381,-0.74521,-0.74508,-0.74573,-0.74582,-0.74599,-0.74568,-0.7457,-0.74562,-0.74635,-0.74564,-0.74554,-0.74488,-0.74484,-0.74606,-0.74429,-0.74481,-0.74501,-0.74428,-0.74263,-0.74216,-0.7412,-0.74076,-0.73883,-0.73786,-0.72946,-0.70014,-0.65004,-0.60092,-0.57789,-0.56987,-0.56302,-0.57064,-0.57865,-0.58557,-0.5858,-0.57486,-0.55793,-0.5389,-0.516,-0.47484,-0.40692,-0.32781,-0.25246,-0.070798,0.11265,0.25307,0.48089,0.68199,0.87282,1.0667,1.2539,1.4437,1.6197,1.7002,1.7336,1.7524,1.7661,1.7717,1.7736,1.7781,1.7807,1.7816,1.7833,1.7798,1.782,1.7769,1.7768,1.7762,1.7765,1.7774,1.7774,1.7719,1.7642,1.7622,1.7637,1.7594,1.7527,1.7422,1.7182,1.6778,1.6165,1.5142,1.3993,1.261,1.1176,0.95725,0.7854,0.61598,0.45023,0.28727,0.14468,0.018479,-0.10956,-0.2145,-0.31115,-0.3732,-0.42764,-0.45898,-0.47963,-0.50517,-0.51764,-0.52649,-0.53482,-0.5397,-0.54971,-0.5532,-0.55425,-0.55387,-0.55306,-0.55643,-0.55563,-0.56195,-0.57254,-0.59159,-0.62088,-0.65932,-0.7009,-0.73523,-0.76843,-0.78611,-0.79231,-0.79151,-0.79001,-0.78887,-0.78195,-0.7742,-0.76773,-0.75441,-0.74325,-0.73418,-0.72341,-0.72179,-0.72126,-0.72091,-0.72167,-0.72466,-0.72923,-0.72894,-0.72783,-0.72824,-0.72645,-0.72552,-0.72519,-0.72468,1
-0.59954,-0.59742,-0.59927,-0.59826,-0.59758,-0.5913,-0.58902,-0.58753,-0.58546,-0.58385,-0.5816,-0.57849,-0.57798,-0.57654,-0.57862,-0.57741,-0.5776,-0.57663,-0.57471,-0.57755,-0.57559,-0.57542,-0.5751,-0.57554,-0.57275,-0.57282,-0.57425,-0.57437,-0.57325,-0.57393,-0.57201,-0.56777,-0.56805,-0.56897,-0.56778,-0.56888,-0.568,-0.57038,-0.56544,-0.56457,-0.56116,-0.55726,-0.55356,-0.53826,-0.50797,-0.44207,-0.33441,-0.12486,0.092937,0.29661,0.50304,0.65706,0.77617,0.85601,0.95508,1.1015,1.2961,1.5035,1.7219,1.9031,2.0235,2.0411,2.0409,2.0521,2.0534,2.0363,2.0358,2.042,2.0322,2.0367,2.0371,2.037,2.0312,2.0341,2.0241,2.0245,2.0245,2.0274,2.0133,1.9501,1.84,1.6938,1.5297,1.3633,1.2152,1.0578,0.8684,0.64725,0.37503,0.098528,-0.12558,-0.38016,-0.54203,-0.66749,-0.72481,-0.73346,-0.72463,-0.69972,-0.68064,-0.66643,-0.65768,-0.64923,-0.64355,-0.63532,-0.6236,-0.60941,-0.58823,-0.56665,-0.54124,-0.5239,-0.5189,-0.52143,-0.52985,-0.5413,-0.5559,-0.57119,-0.58241,-0.58825,-0.59223,-0.59379,-0.59436,-0.59319,-0.59278,-0.5927,-0.59514,-0.59179,-0.5974,-0.59972,-0.60136,-0.60142,-0.60605,-0.606,-0.6115,-0.61665,-0.62145,-0.62594,-0.63273,-0.63336,-0.63909,-0.64068,-0.64404,-0.64388,-0.64574,-0.64646,-0.64646,-0.64558,-0.64241,-0.64334,-0.6368,-0.63172,2
-0.54774,-0.55366,-0.55719,-0.5596,-0.56431,-0.56822,-0.57197,-0.57583,-0.57735,-0.58082,-0.58688,-0.59101,-0.59398,-0.5997,-0.60216,-0.60572,-0.60892,-0.61244,-0.61359,-0.61938,-0.62081,-0.62191,-0.62172,-0.62002,-0.62018,-0.62027,-0.61878,-0.61554,-0.61602,-0.61218,-0.61497,-0.61442,-0.61396,-0.61482,-0.61565,-0.6173,-0.61611,-0.61668,-0.61485,-0.6176,-0.61828,-0.61659,-0.61732,-0.61761,-0.60155,-0.53399,-0.41862,-0.21163,0.041483,0.29123,0.56378,0.76226,0.91766,1.0536,1.162,1.2722,1.3871,1.5101,1.6259,1.7195,1.8102,1.8867,1.8929,1.8955,1.8989,1.8998,1.9098,1.9149,1.9171,1.9165,1.9182,1.918,1.9268,1.9266,1.919,1.9108,1.9108,1.9007,1.8909,1.8577,1.7992,1.7287,1.6227,1.4849,1.3285,1.176,1.0279,0.88848,0.7776,0.69504,0.61459,0.52187,0.44071,0.32245,0.21563,0.088056,-0.062572,-0.19821,-0.35269,-0.46196,-0.56702,-0.65347,-0.72769,-0.78754,-0.81695,-0.82649,-0.8158,-0.80249,-0.79366,-0.78399,-0.76841,-0.75375,-0.73559,-0.7173,-0.71136,-0.70475,-0.69913,-0.69454,-0.69618,-0.69751,-0.69542,-0.69484,-0.69241,-0.69154,-0.69022,-0.68777,-0.68894,-0.69031,-0.69122,-0.68949,-0.69332,-0.69251,-0.69361,-0.69989,-0.69909,-0.70146,-0.70065,-0.69944,-0.70205,-0.70532,-0.70694,-0.70476,-0.7039,-0.70416,-0.70541,-0.70574,-0.70386,-0.70654,-0.71038,-0.71085,2
-1.2612,-1.2949,-1.3101,-1.3196,-1.3203,-1.317,-1.3096,-1.2967,-1.2848,-1.2801,-1.2767,-1.2758,-1.2727,-1.2738,-1.2719,-1.2745,-1.2735,-1.2729,-1.2723,-1.2733,-1.2706,-1.2709,-1.2603,-1.2279,-1.1368,-0.99279,-0.78477,-0.52404,-0.26691,-0.002019,0.23848,0.43791,0.58971,0.68978,0.75271,0.79338,0.8238,0.83847,0.85309,0.85568,0.87091,0.86795,0.88028,0.88264,0.88846,0.88713,0.8862,0.88276,0.88501,0.8869,0.88706,0.88619,0.89101,0.89186,0.89759,0.89127,0.8912,0.89285,0.89596,0.89314,0.89497,0.88776,0.89352,0.89334,0.88614,0.89426,0.88877,0.88959,0.88981,0.88819,0.89459,0.89414,0.89538,0.8957,0.89534,0.89521,0.89521,0.89335,0.89527,0.89401,0.89272,0.88942,0.88777,0.88969,0.88891,0.88296,0.88667,0.88362,0.8785,0.87032,0.87209,0.8692,0.87106,0.86928,0.86863,0.87105,0.86047,0.85921,0.8588,0.85661,0.85851,0.85331,0.84466,0.83773,0.82998,0.80838,0.79392,0.78131,0.74338,0.71615,0.68768,0.64821,0.59839,0.54562,0.45654,0.34802,0.20808,0.046721,-0.14428,-0.3482,-0.54508,-0.75123,-0.92855,-1.077,-1.2059,-1.3022,-1.3341,-1.355,-1.3638,-1.3623,-1.3517,-1.3231,-1.2908,-1.2586,-1.2384,-1.2239,-1.221,-1.2266,-1.2412,-1.2496,-1.2601,-1.2692,-1.2745,-1.279,-1.2801,-1.2813,-1.2813,-1.2806,-1.2802,-1.2799,2
-2.0126,-2.0121,-2.0116,-2.0135,-2.0134,-2.0132,-2.0142,-2.0123,-2.0141,-2.013,-2.0136,-2.0137,-2.0137,-2.0157,-2.0155,-2.0164,-2.0178,-2.0176,-2.0187,-2.0198,-2.0197,-2.0218,-2.0136,-1.994,-1.9431,-1.8339,-1.6745,-1.47,-1.2115,-0.94292,-0.65061,-0.36605,-0.10396,0.10855,0.28601,0.41886,0.50447,0.55347,0.57498,0.57928,0.57974,0.57175,0.5555,0.55105,0.55214,0.55372,0.5526,0.54817,0.55301,0.568,0.55955,0.5673,0.57365,0.56915,0.57404,0.57445,0.57889,0.58083,0.57912,0.58942,0.57868,0.58211,0.5854,0.58575,0.58726,0.59396,0.59112,0.59296,0.59203,0.58703,0.5931,0.58705,0.59249,0.59235,0.58605,0.58449,0.58449,0.59024,0.58656,0.58164,0.5786,0.57498,0.57122,0.57931,0.57421,0.5741,0.5785,0.57724,0.57713,0.58134,0.56704,0.5754,0.56158,0.56501,0.56258,0.5616,0.56462,0.56197,0.56956,0.5605,0.56188,0.56269,0.56523,0.5603,0.55707,0.56035,0.55692,0.55392,0.55518,0.55769,0.55856,0.55887,0.55863,0.56289,0.56199,0.56509,0.56662,0.56753,0.56862,0.56709,0.573,0.57224,0.57957,0.57846,0.57999,0.57953,0.57709,0.58183,0.58175,0.58304,0.5775,0.58296,0.58194,0.56995,0.57525,0.57698,0.56368,0.54306,0.52759,0.4783,0.42697,0.36009,0.27434,0.1634,0.019592,-0.15011,-0.33386,-0.55148,-0.78247,-1.008,2
-1.0656,-1.0665,-1.0672,-1.0682,-1.0676,-1.0713,-1.0675,-1.0678,-1.0679,-1.0698,-1.0704,-1.0696,-1.069,-1.0668,-1.0688,-1.067,-1.0712,-1.0325,-0.98027,-0.86683,-0.68932,-0.46244,-0.22464,0.031068,0.28466,0.50799,0.69933,0.84286,0.96499,1.0162,1.0705,1.0899,1.0867,1.0972,1.0909,1.083,1.0799,1.0782,1.0854,1.0877,1.0886,1.0889,1.0875,1.0879,1.0875,1.0858,1.0778,1.0773,1.0756,1.0773,1.071,1.0671,1.0648,1.07,1.0676,1.0707,1.067,1.0676,1.0676,1.0606,1.0601,1.0632,1.0599,1.0633,1.0605,1.0625,1.0586,1.0571,1.0576,1.0563,1.0529,1.054,1.06,1.0581,1.0547,1.0596,1.0596,1.0586,1.0595,1.0598,1.0555,1.0545,1.0554,1.033,1.0163,1.017,0.99634,0.97337,0.9271,0.91038,0.88312,0.82953,0.77234,0.69237,0.60116,0.49814,0.3693,0.21617,0.053929,-0.12407,-0.29395,-0.44556,-0.60165,-0.7448,-0.85372,-0.9508,-1.0251,-1.0768,-1.107,-1.115,-1.1151,-1.1104,-1.0953,-1.0771,-1.0687,-1.0614,-1.054,-1.0526,-1.0526,-1.0475,-1.0477,-1.0468,-1.0454,-1.0467,-1.0454,-1.0457,-1.0435,-1.0437,-1.0445,-1.0437,-1.0458,-1.0458,-1.0461,-1.048,-1.0484,-1.0484,-1.0517,-1.0502,-1.0485,-1.0481,-1.0516,-1.0465,-1.0489,-1.0463,-1.0466,-1.038,-1.0376,-1.0334,-1.0315,-1.0302,2
-1.1772,-1.1758,-1.1732,-1.1709,-1.1695,-1.1663,-1.1659,-1.1676,-1.1669,-1.1684,-1.1687,-1.1699,-1.172,-1.1745,-1.1722,-1.151,-1.1112,-1.0381,-0.96358,-0.87919,-0.81776,-0.77833,-0.76375,-0.75816,-0.76006,-0.74471,-0.72135,-0.70109,-0.68857,-0.6813,-0.67462,-0.6731,-0.67252,-0.6547,-0.60799,-0.54051,-0.41217,-0.2532,-0.098128,0.079075,0.22602,0.379,0.50076,0.628,0.73885,0.8542,0.94419,1.025,1.0879,1.1311,1.1609,1.1705,1.1872,1.1884,1.1893,1.1937,1.2015,1.2024,1.2009,1.199,1.2022,1.1991,1.1992,1.2007,1.1984,1.2002,1.1974,1.1972,1.1973,1.1948,1.1926,1.1914,1.1898,1.1863,1.1923,1.1894,1.1894,1.1914,1.1917,1.1896,1.1881,1.191,1.1917,1.1914,1.1959,1.1929,1.1937,1.185,1.1886,1.1872,1.1825,1.181,1.1789,1.1728,1.1659,1.1553,1.1236,1.0979,1.0542,0.98838,0.90653,0.81815,0.70866,0.59793,0.48555,0.37193,0.25358,0.14504,0.030856,-0.07891,-0.17755,-0.28434,-0.37343,-0.47522,-0.55537,-0.63135,-0.69797,-0.75798,-0.79107,-0.81301,-0.82609,-0.83507,-0.83829,-0.83203,-0.8294,-0.82387,-0.82324,-0.8209,-0.8196,-0.82809,-0.83646,-0.84388,-0.85982,-0.88116,-0.90654,-0.93195,-0.96394,-1.0157,-1.0819,-1.1516,-1.2256,-1.2957,-1.3274,-1.3271,-1.3004,-1.2711,-1.2673,-1.265,-1.2707,-1.2621,1
