Model,Country,Mileage,Price
         Chevrolet Caprice V8,USA,18,14525
      Chevrolet Lumina APV V6,USA,18,13995
       Dodge Grand Caravan V6,USA,18,15395
             Ford Aerostar V6,USA,18,12267
              Ford Mustang V8,USA,19,12164
                 Mazda MPV V6,Japan,19,14944
                 Nissan Van 4,Japan,19,14799
          Chevrolet Camaro V8,USA,20,11545
              Acura Legend V6,Japan,20,24760
   Ford LTD Crown Victoria V8,USA,20,17257
           Mitsubishi Wagon 4,Japan,20,14929
              Nissan Axxess 4,Japan,20,13949
          Mitsubishi Sigma V6,Japan,21,17879
              Nissan Stanza 4,Japan,21,11650
              Buick Century 4,USA,21,13150
                 Mazda 929 V6,Japan,21,23300
   Oldsmobile Cutlass Ciera 4,USA,21,13150
Oldsmobile Cutlass Supreme V6,USA,21,14495
      Chrysler Le Baron Coupe,USA,22,12495
       Chrysler New Yorker V6,USA,22,16342
             Eagle Premier V6,USA,22,15350
               Ford Taurus V6,USA,22,13195
             Nissan Maxima V6,Japan,22,17899
              Buick Skylark 4,USA,23,10565
          Oldsmobile Calais 4,USA,23,9995
          Ford Thunderbird V6,USA,23,14980
            Toyota Cressida 6,Japan,23,21498
            Buick Le Sabre V6,USA,23,16145
               Nissan 240SX 4,Japan,24,13249
                 Ford Tempo 4,USA,24,9483
              Subaru Loyale 4,Japan,25,9599
         Chrysler Le Baron V6,USA,25,10945
          Mitsubishi Galant 4,Japan,25,10989
               Plymouth Laser,USA,26,10855
          Chevrolet Beretta 4,USA,26,10320
                Dodge Daytona,USA,27,9745
       Honda Prelude Si 4WS 4,Japan,27,13945
                  Subaru XT 4,Japan,28,13071
                   Ford Probe,USA,30,11470
              Mazda Protege 4,Japan,32,6599
               Eagle Summit 4,USA,33,8895
              Ford Escort   4,USA,33,7402
         Honda Civic CRX Si 4,Japan,33,9410
               Subaru Justy 3,Japan,34,5866
              Toyota Tercel 4,Japan,35,6488
