EOM,AAA,threefour
360.071,5.94,5.31
361.217,6,5.6
358.774,6.08,5.49
360.271,6.17,5.8
360.139,6.14,5.61
362.164,6.09,5.28
362.901,5.87,5.19
361.878,5.84,5.18
360.922,5.99,5.3
361.307,6.12,5.23
362.29,6.42,5.64
367.382,6.48,5.62
371.031,6.52,5.67
373.734,6.64,5.83
373.463,6.75,5.53
375.518,6.73,5.76
374.804,6.89,6.09
375.457,6.98,6.52
375.423,6.98,6.68
374.365,7.1,7.07
372.314,7.19,7.12
373.765,7.29,7.25
372.776,7.65,7.85
374.134,7.75,8.02
374.88,7.72,7.87
376.735,7.67,7.14
374.841,7.66,7.2
375.622,7.89,7.59
375.461,8.14,7.74
377.694,8.21,7.51
380.119,8.05,7.46
382.288,7.94,7.09
383.27,7.88,6.82
387.978,7.79,6.22
394.041,7.41,5.61
403.423,7.18,5.48
412.727,7.15,4.78
423.417,7.27,4.14
429.948,7.37,4.64
437.821,7.54,5.52
441.703,7.58,5.95
446.663,7.62,6.2
447.964,7.58,6.03
449.118,7.48,5.6
449.234,7.35,5.26
454.162,7.19,4.96
456.692,7.19,5.28
465.117,7.11,5.37
470.408,7.16,5.53
475.6,7.22,5.72
475.857,7.36,6.04
480.259,7.34,5.66
483.432,7.3,5.75
488.536,7.3,5.82
493.182,7.27,5.9
494.242,7.3,6.11
493.484,7.31,6.05
498.186,7.26,5.98
500.064,7.24,6
506.684,7.25,6.24
