typeA,mortality
75.1,4.87
86.5,6.56
72.1,4.84
89.8,4.87
80.2,4.07
75.6,4.16
78.2,3.5
86.9,7.11
60,8.89
93.1,4.68
83.5,5.62
73.3,3.98
80.4,4.84
85,4.07
60.2,4.3
60.1,3.62
86.5,8.35
78.2,4.55
64.8,6.06
77.6,9.52
57.4,5.4
92.3,4.75
81.4,3.73
72.1,4.05
70.8,3.86
79.9,6.65
75.5,6.86
100,4.97
100,7.65
72.4,4.17
80.9,6.54
77.6,3.31
100,5.03
84.9,6.7
79.2,5.07
85.6,4.82
96.9,7.4
87,5.56
36.6,3.39
100,4.21
50,3.24
95.5,3.62
100,5.68
100,4.46
100,4.43
100,3.22
100,4.42
100,7.08
100,5.04
100,7.58
100,4.73
100,5.24
83.6,7.97
100,6.72
89.6,5.83
100,6.84
100,4.36
100,6.51
63.1,3.81
100,4.47
100,5.68
100,4.08
100,3.58
59.1,5.2
100,5.42
68.9,3.72
100,5.81
100,4.55
100,6.21
100,8.44
100,5.04
0,3.92
100,3.72
100,4.44
100,4.39
100,6.17
100,5.41
100,7.63
42.8,4.68
100,6.97
100,5.25
100,8.86
100,7.34
100,4.15
100,5.06
65.4,3.88
63.5,3.8
85.6,5.9
78.18,6.2
63.3,5.7
74.76,8.36
33.89,5.8
86.65,4.85
64.65,5.58
100,7.62
78.81,11.45
89.75,3.86
69.61,6.32
100,4.86
68.25,5.58
90.61,4.97
100,4.64
2.72,6.29
100,4.84
100,3.87
100,6.9
64.54,7.76
100,7.69
94.62,7.86
100,8.93
37.5,7.79
100,6.09
100,11.26
100,14.96
100,5.32
100,5.07
100,4.82
100,5.18
100,5.03
100,5.8
100,7.03
100,4.63
92.7,4.85
100,7.23
100,8.15
100,5.6
100,4.77
100,4.87
100,5.74
100,6.98
64.9,5.34
100,5.09
100,4.22
100,6.39
100,5.08
100,8.02
100,6.93
65.9,4.38
100,8.1
100,11.18
100,3.72
100,4.33
100,3.77
100,4.86
100,6.04
95,4.87
66.7,4.31
53.3,4.25
98.2,5.89
100,5.87
100,7.04
64.9,4.73
100,7.47
70.1,7.96
100,8.92
100,6.65
