Quarter,Origin,Arrivals
1981 Q1,Japan,14763
1981 Q2,Japan,9321
1981 Q3,Japan,10166
1981 Q4,Japan,19509
1982 Q1,Japan,17117
1982 Q2,Japan,10617
1982 Q3,Japan,11737
1982 Q4,Japan,20961
1983 Q1,Japan,20671
1983 Q2,Japan,12235
1983 Q3,Japan,14567
1983 Q4,Japan,24363
1984 Q1,Japan,23169
1984 Q2,Japan,16296
1984 Q3,Japan,18504
1984 Q4,Japan,29938
1985 Q1,Japan,30240
1985 Q2,Japan,20280
1985 Q3,Japan,20908
1985 Q4,Japan,36169
1986 Q1,Japan,37989
1986 Q2,Japan,32366
1986 Q3,Japan,28131
1986 Q4,Japan,47150
1987 Q1,Japan,51736
1987 Q2,Japan,38254
1987 Q3,Japan,53807
1987 Q4,Japan,71807
1988 Q1,Japan,80300
1988 Q2,Japan,79596
1988 Q3,Japan,88708
1988 Q4,Japan,103738
1989 Q1,Japan,94172
1989 Q2,Japan,76462
1989 Q3,Japan,88393
1989 Q4,Japan,90527
1990 Q1,Japan,119654
1990 Q2,Japan,106965
1990 Q3,Japan,128472
1990 Q4,Japan,124773
1991 Q1,Japan,119638
1991 Q2,Japan,115049
1991 Q3,Japan,140470
1991 Q4,Japan,153436
1992 Q1,Japan,166732
1992 Q2,Japan,141886
1992 Q3,Japan,160455
1992 Q4,Japan,160807
1993 Q1,Japan,178466
1993 Q2,Japan,151904
1993 Q3,Japan,168131
1993 Q4,Japan,172358
1994 Q1,Japan,191367
1994 Q2,Japan,158207
1994 Q3,Japan,183289
1994 Q4,Japan,188273
1995 Q1,Japan,196480
1995 Q2,Japan,174307
1995 Q3,Japan,214067
1995 Q4,Japan,197850
1996 Q1,Japan,227335
1996 Q2,Japan,174325
1996 Q3,Japan,219347
1996 Q4,Japan,192137
1997 Q1,Japan,223640
1997 Q2,Japan,167269
1997 Q3,Japan,227641
1997 Q4,Japan,195350
1998 Q1,Japan,205468
1998 Q2,Japan,168520
1998 Q3,Japan,200860
1998 Q4,Japan,176235
1999 Q1,Japan,193822
1999 Q2,Japan,154860
1999 Q3,Japan,188080
1999 Q4,Japan,170689
2000 Q1,Japan,192023
2000 Q2,Japan,154701
2000 Q3,Japan,182130
2000 Q4,Japan,192135
2001 Q1,Japan,193645
2001 Q2,Japan,156303
2001 Q3,Japan,186861
2001 Q4,Japan,136748
2002 Q1,Japan,177263
2002 Q2,Japan,158357
2002 Q3,Japan,183821
2002 Q4,Japan,196006
2003 Q1,Japan,176132
2003 Q2,Japan,102633
2003 Q3,Japan,156396
2003 Q4,Japan,192591
2004 Q1,Japan,185175
2004 Q2,Japan,153363
2004 Q3,Japan,181659
2004 Q4,Japan,190143
2005 Q1,Japan,193547
2005 Q2,Japan,135461
2005 Q3,Japan,176242
2005 Q4,Japan,180085
2006 Q1,Japan,189187
2006 Q2,Japan,128919
2006 Q3,Japan,163649
2006 Q4,Japan,169314
2007 Q1,Japan,165823
2007 Q2,Japan,111484
2007 Q3,Japan,149065
2007 Q4,Japan,146673
2008 Q1,Japan,136544
2008 Q2,Japan,88879
2008 Q3,Japan,121951
2008 Q4,Japan,109858
2009 Q1,Japan,106123
2009 Q2,Japan,65748
2009 Q3,Japan,88371
2009 Q4,Japan,95214
2010 Q1,Japan,109072
2010 Q2,Japan,71253
2010 Q3,Japan,117876
2010 Q4,Japan,99987
2011 Q1,Japan,92889
2011 Q2,Japan,53397
2011 Q3,Japan,96467
2011 Q4,Japan,89900
2012 Q1,Japan,98180
2012 Q2,Japan,59760
2012 Q3,Japan,101900
1981 Q1,NZ,49140
1981 Q2,NZ,87467
1981 Q3,NZ,85841
1981 Q4,NZ,61882
1982 Q1,NZ,42045
1982 Q2,NZ,63081
1982 Q3,NZ,73275
1982 Q4,NZ,54808
1983 Q1,NZ,41030
1983 Q2,NZ,56155
1983 Q3,NZ,69395
1983 Q4,NZ,58423
1984 Q1,NZ,37039
1984 Q2,NZ,71564
1984 Q3,NZ,71260
1984 Q4,NZ,54597
1985 Q1,NZ,41646
1985 Q2,NZ,63668
1985 Q3,NZ,67803
1985 Q4,NZ,72177
1986 Q1,NZ,55192
1986 Q2,NZ,89073
1986 Q3,NZ,97746
1986 Q4,NZ,94696
1987 Q1,NZ,71130
1987 Q2,NZ,111416
1987 Q3,NZ,127619
1987 Q4,NZ,117078
1988 Q1,NZ,90498
1988 Q2,NZ,135435
1988 Q3,NZ,176899
1988 Q4,NZ,131457
1989 Q1,NZ,83029
1989 Q2,NZ,111748
1989 Q3,NZ,128509
1989 Q4,NZ,126021
1990 Q1,NZ,75584
1990 Q2,NZ,109472
1990 Q3,NZ,122164
1990 Q4,NZ,111222
1991 Q1,NZ,90067
1991 Q2,NZ,114050
1991 Q3,NZ,152662
1991 Q4,NZ,123821
1992 Q1,NZ,75376
1992 Q2,NZ,107369
1992 Q3,NZ,128550
1992 Q4,NZ,136250
1993 Q1,NZ,90758
1993 Q2,NZ,124972
1993 Q3,NZ,153153
1993 Q4,NZ,130393
1994 Q1,NZ,90095
1994 Q2,NZ,113799
1994 Q3,NZ,148605
1994 Q4,NZ,127879
1995 Q1,NZ,95295
1995 Q2,NZ,130073
1995 Q3,NZ,166383
1995 Q4,NZ,146632
1996 Q1,NZ,132410
1996 Q2,NZ,166735
1996 Q3,NZ,205120
1996 Q4,NZ,167569
1997 Q1,NZ,142502
1997 Q2,NZ,160522
1997 Q3,NZ,205250
1997 Q4,NZ,177366
1998 Q1,NZ,128179
1998 Q2,NZ,184943
1998 Q3,NZ,212263
1998 Q4,NZ,183996
1999 Q1,NZ,143015
1999 Q2,NZ,179577
1999 Q3,NZ,215732
1999 Q4,NZ,190461
2000 Q1,NZ,154537
2000 Q2,NZ,212401
2000 Q3,NZ,229048
2000 Q4,NZ,221071
2001 Q1,NZ,162480
2001 Q2,NZ,215840
2001 Q3,NZ,233074
2001 Q4,NZ,203493
2002 Q1,NZ,159879
