Event,Year,Champion,Country,Time
Men's open division,1897,John J. McDermott,United States,02:55:10
Men's open division,1898,Ronald J. MacDonald,Canada,02:42:00
Men's open division,1899,Lawrence Brignolia,United States,02:54:38
Men's open division,1900,John P. Caffery,Canada,02:39:44
Men's open division,1901,John P. Caffery,Canada,02:29:23
Men's open division,1902,Sammy A. Mellor,United States,02:43:12
Men's open division,1903,John C. Lorden,United States,02:41:29
Men's open division,1904,Michael Spring,United States,02:38:04
Men's open division,1905,Frederick Lorz,United States,02:38:25
Men's open division,1906,Timothy Ford,United States,02:45:45
Men's open division,1907,Thomas Longboat,Canada,02:24:24
Men's open division,1908,Thomas P. Morrissey,United States,02:25:43
Men's open division,1909,Henri Renaud,United States,02:53:36
Men's open division,1910,Fred L. Cameron,Canada,02:28:52
Men's open division,1911,Clarence H. DeMar,United States,02:21:39
Men's open division,1912,Michael J. Ryan,United States,02:21:18
Men's open division,1913,Fritz Carlson,United States,02:25:14
Men's open division,1914,James Duffy,Canada,02:25:01
Men's open division,1915,Edouard Fabre,Canada,02:31:41
Men's open division,1916,Arthur V. Roth,United States,02:27:16
Men's open division,1917,William J. (Bill) Kennedy,United States,02:28:37
Men's open division,1918,Camp Devens Divisional Team,United States,02:24:53
Men's open division,1919,Carl W. A. Linder,United States,02:29:13
Men's open division,1920,Peter Trivoulidas,Greece,02:29:31
Men's open division,1921,Frank T. Zuna,United States,02:18:57
Men's open division,1922,Clarence H. DeMar,United States,02:18:10
Men's open division,1923,Clarence H. DeMar,United States,02:23:47
Men's open division,1924,Clarence H. DeMar,United States,02:29:40
Men's open division,1925,Charles L. (Chuck) Mellor,United States,02:33:00
Men's open division,1926,John C. Miles,Canada,02:25:40
Men's open division,1927,Clarence H. DeMar,United States,02:40:22
Men's open division,1928,Clarence H. DeMar,United States,02:37:07
Men's open division,1929,John C. Miles,Canada,02:33:08
Men's open division,1930,Clarence H. DeMar,United States,02:34:48
Men's open division,1931,James P. Henigan,United States,02:46:45
Men's open division,1932,Paul de Bruyn,Germany,02:33:36
Men's open division,1933,Leslie S. Pawson,United States,02:31:01
Men's open division,1934,Dave Komonen,Canada,02:32:53
Men's open division,1935,John A. Kelley,United States,02:32:07
Men's open division,1936,Ellison M. Brown,United States,02:33:40
Men's open division,1937,Walter Young,Canada,02:33:20
Men's open division,1938,Leslie S. Pawson,United States,02:35:34
Men's open division,1939,Ellison M. Brown,United States,02:28:51
Men's open division,1940,Gerard Cote,Canada,02:28:28
Men's open division,1941,Leslie S. Pawson,United States,02:30:38
Men's open division,1942,Bernard Joseph (Joe) Smith,United States,02:26:51
Men's open division,1943,Gerard Cote,Canada,02:28:25
Men's open division,1944,Gerard Cote,Canada,02:31:50
Men's open division,1945,John A. Kelley,United States,02:30:40
Men's open division,1946,Stylianos Kyriakides,Greece,02:29:27
Men's open division,1947,Yun Bok Suh,Korea,02:25:39
Men's open division,1948,Gerard Cote,Canada,02:31:02
Men's open division,1949,Karl Gosta Leandersson,Sweden,02:31:50
Men's open division,1950,Ki-Yong Ham,Korea,02:32:39
Men's open division,1951,Shigeki Tanaka,Japan,02:27:45
Men's open division,1952,Doroteo Flores,Guatemala,02:31:53
Men's open division,1953,Keizo Yamada,Japan,02:18:51
Men's open division,1954,Veikko Karvonen,Finland,02:20:39
Men's open division,1955,Hideo Hamamura,Japan,02:18:22
Men's open division,1956,Antti Viskari,Finland,02:14:14
Men's open division,1957,John J. Kelley,United States,02:20:05
Men's open division,1958,Franjo Mihalic,Yugoslavia,02:25:54
Men's open division,1959,Eino Oksanen,Finland,02:22:42
Men's open division,1960,Paavo Kotila,Finland,02:20:54
Men's open division,1961,Eino Oksanen,Finland,02:23:39
Men's open division,1962,Eino Oksanen,Finland,02:23:48
Men's open division,1963,Aurele Vandendriessche,Belgium,02:18:58
Men's open division,1964,Aurele Vandendriessche,Belgium,02:19:59
Men's open division,1965,Morio Shigematsu,Japan,02:16:33
Men's open division,1966,Kenji Kimihara,Japan,02:17:11
Men's open division,1967,David C. McKenzie,New Zealand,02:15:45
Men's open division,1968,Amby Burfoot,United States,02:22:17
Men's open division,1969,Yoshiaki Unetani,Japan,02:13:49
Men's open division,1970,Ron Hill,England,02:10:30
Men's open division,1971,Alvaro Mejia,Colombia,02:18:45
