Month,Volume
1960 Jan,1.4306
1960 Feb,1.3059
1960 Mar,1.4022
1960 Apr,1.1699
1960 May,1.1161
1960 Jun,1.0113
1960 Jul,0.966
1960 Aug,0.9773
1960 Sep,1.0311
1960 Oct,1.2521
1960 Nov,1.4419
1960 Dec,1.5637
1961 Jan,1.745
1961 Feb,1.5835
1961 Mar,1.677
1961 Apr,1.5155
1961 May,1.4051
1961 Jun,1.2464
1961 Jul,1.2238
1961 Aug,1.2917
1961 Sep,1.3541
1961 Oct,1.5552
1961 Nov,1.7648
1961 Dec,2.2549
1962 Jan,2.4164
1962 Feb,2.3484
1962 Mar,2.3852
1962 Apr,2.0651
1962 May,2.0594
1962 Jun,1.9263
1962 Jul,1.9631
1962 Aug,2.0396
1962 Sep,2.1104
1962 Oct,2.3427
1962 Nov,2.422
1962 Dec,2.8554
1963 Jan,3.0566
1963 Feb,2.6798
1963 Mar,2.8101
1963 Apr,2.5863
1963 May,2.4674
1963 Jun,2.2407
1963 Jul,2.2662
1963 Aug,2.2889
1963 Sep,2.4305
1963 Oct,2.6345
1963 Nov,2.9716
1963 Dec,3.2577
1964 Jan,3.4872
1964 Feb,3.2322
1964 Mar,3.2464
1964 Apr,3.1104
1964 May,2.8838
1964 Jun,2.592
1964 Jul,2.6996000000000002
1964 Aug,2.796
1964 Sep,2.796
1964 Oct,3.0736
1964 Nov,3.3399
1964 Dec,4.0565
1965 Jan,3.9007
1965 Feb,3.4787
1965 Mar,3.7563
1965 Apr,3.3172
1965 May,3.2549
1965 Jun,3.0311
1965 Jul,2.8186
1965 Aug,3.0792
1965 Sep,3.1217
1965 Oct,3.3937
1965 Nov,3.6911
1965 Dec,4.099
1966 Jan,4.3342
1966 Feb,3.6911
1966 Mar,3.9347
1966 Apr,3.5976
1966 May,3.4985
1966 Jun,3.201
1966 Jul,3.1812
1966 Aug,3.2095
1966 Sep,3.1019
1966 Oct,3.7704
1966 Nov,4.15
1966 Dec,4.3483
1967 Jan,4.5211
1967 Feb,3.9546
1967 Mar,4.3087
1967 Apr,3.9829
1967 May,3.9121
1967 Jun,3.4418
1967 Jul,3.4588
1967 Aug,3.6855
1967 Sep,3.6061
1967 Oct,4.0509
1967 Nov,4.2888
1967 Dec,4.8894
1968 Jan,4.9942
1968 Feb,4.6401
1968 Mar,4.7761
1968 Apr,4.3795
1968 May,4.116
1968 Jun,3.9546
1968 Jul,3.8073
1968 Aug,4.1217
1968 Sep,4.0622
1968 Oct,4.7053
1968 Nov,5.0848
1968 Dec,5.6457
1969 Jan,5.7194
1969 Feb,5.218
1969 Mar,5.6344
1969 Apr,5.252
1969 May,4.7251
1969 Jun,4.2265
1969 Jul,4.4531
