Month,Quotes,TVadverts
2002 Jan,12.97065,7.212725
2002 Feb,15.38714,9.44357
2002 Mar,13.22957,7.53425
2002 Apr,12.97065,7.212725
2002 May,15.38714,9.44357
2002 Jun,11.72288,6.415215
2002 Jul,10.06177,5.80699
2002 Aug,10.82279,6.2036
2002 Sep,13.28707,7.58643
2002 Oct,14.57832,8.004935
2002 Nov,15.60542,8.83498
2002 Dec,15.93515,8.957255
2003 Jan,16.99486,9.53299
2003 Feb,16.87821,9.39295
2003 Mar,16.45128,8.91856
2003 Apr,15.28118,8.37412
2003 May,15.88901,9.844505
2003 Jun,15.67747,9.84939
2003 Jul,13.2878,8.40273
2003 Aug,12.64484,7.920675
2003 Sep,11.82771,7.436085
2003 Oct,9.69184,6.34049
2003 Nov,10.30415,6.939995
2003 Dec,11.38253,6.9771
2004 Jan,12.95149,8.010201
2004 Feb,13.63092,9.56546
2004 Mar,9.12098,6.27251
2004 Apr,8.39468,5.707495
2004 May,12.30076,7.96354
2004 Jun,13.84831,8.494221
2004 Jul,15.96246,9.789085
2004 Aug,14.19738,8.692825
2004 Sep,12.85922,8.05723
2004 Oct,12.08837,7.588995
2004 Nov,12.93375,8.244881
2004 Dec,11.72235,6.67554
2005 Jan,15.47126,9.219604
2005 Feb,18.43898,10.9638
2005 Mar,17.49186,10.45629
2005 Apr,14.49168,8.7286
