year,eggs,chicken,copper,nails,oil,wheat
1800,NA,NA,9.281972,168.89,NA,919.68
1801,NA,NA,8.9997,172.27,NA,897.71
1802,NA,NA,8.560122,218.71,NA,687.41
1803,NA,NA,8.599723,188.72,NA,645.95
1804,NA,NA,9.599666,188.36,NA,662.24
1805,NA,NA,10.099527,188.36,NA,822.04
1806,NA,NA,9.956961,163.17,NA,736.15
1807,NA,NA,10.390599,174.29,NA,693.71
1808,NA,NA,8.549561,159.77,NA,682.87
1809,NA,NA,8.597523,163.17,NA,786.37
1810,NA,NA,8.195346,163.17,NA,880.52
1811,NA,NA,6.407771,150.63,NA,791.95
1812,NA,NA,8.170265,134.54,NA,914.2
1813,NA,NA,7.82045,118.31,NA,773.57
1814,NA,NA,8.571122,144.15,NA,609.17
1815,NA,NA,7.34699,183.47,NA,588.11
1816,NA,NA,6.423171,203.08,NA,781.7
1817,NA,NA,5.118516,183.32,NA,878.29
1818,NA,NA,5.732342,168.47,NA,761.48
1819,NA,NA,5.90835,169.7,NA,664.59
1820,NA,NA,6.213942,188.36,NA,717.18
1821,NA,NA,6.749665,197.78,NA,691.07
1822,NA,NA,6.344848,197.78,NA,610.89
1823,NA,NA,6.499735,219.75,NA,713.66
1824,NA,NA,6.87243,216.98,NA,787.88
1825,NA,NA,8.020219,174.04,NA,719.53
1826,NA,NA,7.835631,171.19,NA,652.11
1827,NA,NA,6.912252,160.5,NA,695.46
1828,NA,NA,6.714024,173.19,NA,739.78
1829,NA,NA,6.587298,169.08,NA,819.39
1830,NA,NA,6.166861,130.98,NA,824.47
1831,NA,NA,6.222963,133.36,NA,774.19
1832,NA,NA,6.727444,147.33,NA,739.28
1833,NA,NA,7.114221,131.39,NA,710.02
1834,NA,NA,7.026437,139.71,NA,671.53
1835,NA,NA,6.799827,147.49,NA,562.67
1836,NA,NA,7.33907,138.56,NA,625.09
1837,NA,NA,7.123241,134.48,NA,702.37
1838,NA,NA,7.148102,142.89,NA,806.92
1839,NA,NA,6.86759,145.74,NA,822.81
1840,NA,NA,7.325429,139.71,NA,758.54
1841,NA,NA,7.233906,129.06,NA,753.24
1842,NA,NA,7.021377,124.82,NA,725.16
1843,NA,NA,6.791687,115.67,NA,715.06
1844,NA,NA,6.887611,122.47,NA,732.43
1845,NA,NA,7.272187,129.28,NA,692.81
1846,NA,NA,7.80725,127.01,NA,716.5
1847,NA,NA,7.432354,122.47,NA,860.77
1848,NA,NA,7.417613,124.57,NA,714.09
1849,NA,NA,7.714186,121.93,NA,645.9
1850,NA,NA,7.714186,113.09,NA,581.26
1851,NA,NA,7.355351,99.98,NA,555.99
1852,NA,NA,8.431856,95.41,NA,576.22
1853,NA,NA,10.441201,147.84,NA,669.32
1854,NA,NA,10.033084,134.35,NA,854.82
1855,NA,NA,9.514742,111.59,NA,889.11
1856,NA,NA,10.365298,110.64,NA,823.62
1857,NA,NA,9.642787,101.24,NA,653.6
1858,NA,NA,8.969999,103.46,NA,565.62
1859,NA,NA,8.671006,108.95,NA,549.91
1860,NA,NA,8.704228,88.34,NA,639.7
1861,NA,NA,8.476298,77.62,NA,670.66
1862,NA,NA,7.491756,88.14,NA,665.73
1863,NA,NA,9.402757,105.66,NA,528.24
1864,NA,NA,10.262554,127.28,NA,474.14
1865,NA,NA,8.76781,117.29,NA,502.55
1866,NA,NA,8.000198,120.72,NA,594.4
1867,NA,NA,6.206462,107.41,NA,767.06
1868,NA,NA,5.901089,96.59,NA,765.84
1869,NA,NA,6.234623,92.78,NA,589.06
1870,NA,NA,5.725522,88.24,49.32,578.99
1871,NA,NA,6.87023,95.68,58.53,680.74
1872,NA,NA,10.148589,115.58,49.09,644.8
1873,NA,NA,7.982157,103.72,24.68,652.78
1874,NA,NA,6.640541,89.43,16.71,658.08
1875,NA,NA,7.059438,78.98,19.86,552.37
1876,NA,NA,6.734925,70.97,38.23,569.73
1877,NA,NA,6.093377,61.2,36.11,700.34
1878,NA,NA,5.874468,60.7,19.59,605.86
1879,NA,NA,6.817428,73.21,14.91,589.14
1880,NA,NA,7.608581,96.7,15.74,573.16
1881,NA,NA,6.476194,81.2,15.4,597.47
1882,NA,NA,6.546817,91.18,13.06,600
1883,NA,NA,5.827826,83.28,19.07,553.42
1884,NA,NA,5.245462,67.46,15.28,499.14
1885,NA,NA,4.219118,65.76,15.82,489.79
1886,NA,NA,4.181057,64.07,12.77,472.83
1887,NA,NA,4.295021,64.92,12.05,501.34
1888,NA,NA,6.38555,57.3,11.69,491.06
1889,NA,NA,5.245462,56.45,13.85,453.77
1890,NA,NA,6.005594,56.45,13.85,484.71
1891,NA,NA,4.97925,46.97,10.07,566.38
1892,NA,NA,4.371145,41.69,9.17,457.66
1893,NA,NA,4.142995,37.92,10.79,403.04
1894,NA,NA,3.749838,32.66,13.44,365
1895,NA,NA,4.433407,43.55,21.17,379.49
1896,NA,NA,4.515471,60.14,18.64,426.48
1897,NA,NA,4.638676,30.53,13.21,479.02
1898,NA,NA,4.885086,29.57,15.54,523.12
1899,NA,NA,7.266027,49.1,21.94,406.11
1900,276.79,NA,6.814348,54.14,23.11,399.38
1901,315.42,NA,6.937553,48.63,18.64,403.81
1902,314.87,NA,4.73658,41.6,14.94,425.48
1903,321.25,NA,5.2074,39.5,16.9,399.38
1904,314.54,NA,4.97925,36.29,15.46,416.23
1905,317.92,NA,6.005594,36.1,11.15,437.43
1906,303.39,NA,7.449955,37.28,13.13,410.49
1907,288.62,NA,7.80703,38.86,12.48,438.55
1908,292.44,NA,5.176819,39.98,12.95,468.95
1909,320.92,NA,5.098935,36.5,12.59,531.23
1910,323.38,NA,4.841745,34.66,10.58,449.37
1911,270.77,NA,4.691698,33.12,10.58,444.73
1912,301.77,NA,5.943331,30.84,12.39,470.4
1913,282.99,NA,5.555455,31.48,15.53,422.93
1914,295.06,NA,4.678498,28.67,13.06,475.12
1915,276.47,NA,5.980733,29.52,10.22,578.56
1916,292.8,NA,8.838213,40.81,16.33,555.82
1917,358.78,NA,8.04618,48.63,19.72,583.9
1918,345.82,NA,5.755663,41.03,21.31,494.33
1919,345.42,NA,3.875024,34.91,18.84,455.6
1920,314.1,NA,3.152733,35.87,24.84,441.78
1921,228.74,NA,2.470484,29.31,15.67,430.74
1922,215.76,NA,2.805339,26.73,15.57,354.89
1923,224.67,NA,2.982006,30.53,12.73,326.81
1924,225.93,164.16,2.688954,30.01,13.56,382.2
1925,250.87,169.17,2.822499,27.61,15.54,402.06
1926,236.24,180.65,2.736476,26.67,17.22,419.86
1927,209.12,168.3,2.627351,26.08,12.14,399.31
1928,237.31,180.73,2.985966,26.81,11.07,350.37
1929,251.67,192.55,3.712217,26.72,12.02,348.73
1930,205.36,159.43,2.732515,22.52,11.55,294.49
1931,167.21,150.11,1.906601,22.3,6.92,226.73
1932,150.42,126.05,1.467682,25.76,10.33,238.97
1933,154.09,106.08,1.947302,27.68,8.38,221.57
1934,183.67,119.92,2.245635,33.62,12.11,199.37
