Month,Sales
1987 Jan,1664.81
1987 Feb,2397.53
1987 Mar,2840.71
1987 Apr,3547.29
1987 May,3752.96
1987 Jun,3714.74
1987 Jul,4349.61
1987 Aug,3566.34
1987 Sep,5021.82
1987 Oct,6423.48
1987 Nov,7600.6
1987 Dec,19756.21
1988 Jan,2499.81
1988 Feb,5198.24
1988 Mar,7225.14
1988 Apr,4806.03
1988 May,5900.88
1988 Jun,4951.34
1988 Jul,6179.12
1988 Aug,4752.15
1988 Sep,5496.43
1988 Oct,5835.1
1988 Nov,12600.08
1988 Dec,28541.72
1989 Jan,4717.02
1989 Feb,5702.63
1989 Mar,9957.58
1989 Apr,5304.78
1989 May,6492.43
1989 Jun,6630.8
1989 Jul,7349.62
1989 Aug,8176.62
1989 Sep,8573.17
1989 Oct,9690.5
1989 Nov,15151.84
1989 Dec,34061.01
1990 Jan,5921.1
1990 Feb,5814.58
1990 Mar,12421.25
1990 Apr,6369.77
1990 May,7609.12
1990 Jun,7224.75
1990 Jul,8121.22
1990 Aug,7979.25
1990 Sep,8093.06
1990 Oct,8476.7
1990 Nov,17914.66
1990 Dec,30114.41
1991 Jan,4826.64
1991 Feb,6470.23
1991 Mar,9638.77
1991 Apr,8821.17
1991 May,8722.37
1991 Jun,10209.48
1991 Jul,11276.55
1991 Aug,12552.22
1991 Sep,11637.39
1991 Oct,13606.89
1991 Nov,21822.11
1991 Dec,45060.69
1992 Jan,7615.03
1992 Feb,9849.69
1992 Mar,14558.4
1992 Apr,11587.33
1992 May,9332.56
1992 Jun,13082.09
1992 Jul,16732.78
1992 Aug,19888.61
1992 Sep,23933.38
1992 Oct,25391.35
1992 Nov,36024.8
1992 Dec,80721.71
1993 Jan,10243.24
1993 Feb,11266.88
1993 Mar,21826.84
1993 Apr,17357.33
1993 May,15997.79
1993 Jun,18601.53
1993 Jul,26155.15
1993 Aug,28586.52
1993 Sep,30505.41
1993 Oct,30821.33
1993 Nov,46634.38
1993 Dec,104660.67
