Sensor,Date_Time,Date,Time,Count
Birrarung Marr,2014-12-31T13:00:00Z,2015-01-01,0,1630
Birrarung Marr,2014-12-31T14:00:00Z,2015-01-01,1,826
Birrarung Marr,2014-12-31T15:00:00Z,2015-01-01,2,567
Birrarung Marr,2014-12-31T16:00:00Z,2015-01-01,3,264
Birrarung Marr,2014-12-31T17:00:00Z,2015-01-01,4,139
Birrarung Marr,2014-12-31T18:00:00Z,2015-01-01,5,77
Birrarung Marr,2014-12-31T19:00:00Z,2015-01-01,6,44
Birrarung Marr,2014-12-31T20:00:00Z,2015-01-01,7,56
Birrarung Marr,2014-12-31T21:00:00Z,2015-01-01,8,113
Birrarung Marr,2014-12-31T22:00:00Z,2015-01-01,9,166
Birrarung Marr,2014-12-31T23:00:00Z,2015-01-01,10,250
Birrarung Marr,2015-01-01T00:00:00Z,2015-01-01,11,466
Birrarung Marr,2015-01-01T01:00:00Z,2015-01-01,12,402
Birrarung Marr,2015-01-01T02:00:00Z,2015-01-01,13,564
Birrarung Marr,2015-01-01T03:00:00Z,2015-01-01,14,554
Birrarung Marr,2015-01-01T04:00:00Z,2015-01-01,15,597
Birrarung Marr,2015-01-01T05:00:00Z,2015-01-01,16,504
Birrarung Marr,2015-01-01T06:00:00Z,2015-01-01,17,472
Birrarung Marr,2015-01-01T07:00:00Z,2015-01-01,18,440
Birrarung Marr,2015-01-01T08:00:00Z,2015-01-01,19,413
Birrarung Marr,2015-01-01T09:00:00Z,2015-01-01,20,197
Birrarung Marr,2015-01-01T10:00:00Z,2015-01-01,21,101
Birrarung Marr,2015-01-01T11:00:00Z,2015-01-01,22,55
Birrarung Marr,2015-01-01T12:00:00Z,2015-01-01,23,53
Birrarung Marr,2015-01-01T13:00:00Z,2015-01-02,0,24
Birrarung Marr,2015-01-01T14:00:00Z,2015-01-02,1,9
Birrarung Marr,2015-01-01T15:00:00Z,2015-01-02,2,10
Birrarung Marr,2015-01-01T16:00:00Z,2015-01-02,3,1
Birrarung Marr,2015-01-01T17:00:00Z,2015-01-02,4,8
Birrarung Marr,2015-01-01T18:00:00Z,2015-01-02,5,86
Birrarung Marr,2015-01-01T19:00:00Z,2015-01-02,6,245
Birrarung Marr,2015-01-01T20:00:00Z,2015-01-02,7,216
Birrarung Marr,2015-01-01T21:00:00Z,2015-01-02,8,240
Birrarung Marr,2015-01-01T22:00:00Z,2015-01-02,9,343
Birrarung Marr,2015-01-01T23:00:00Z,2015-01-02,10,352
Birrarung Marr,2015-01-02T00:00:00Z,2015-01-02,11,258
Birrarung Marr,2015-01-02T01:00:00Z,2015-01-02,12,238
Birrarung Marr,2015-01-02T02:00:00Z,2015-01-02,13,210
Birrarung Marr,2015-01-02T03:00:00Z,2015-01-02,14,171
Birrarung Marr,2015-01-02T04:00:00Z,2015-01-02,15,203
Birrarung Marr,2015-01-02T05:00:00Z,2015-01-02,16,227
Birrarung Marr,2015-01-02T06:00:00Z,2015-01-02,17,216
Birrarung Marr,2015-01-02T07:00:00Z,2015-01-02,18,197
Birrarung Marr,2015-01-02T08:00:00Z,2015-01-02,19,177
Birrarung Marr,2015-01-02T09:00:00Z,2015-01-02,20,216
Birrarung Marr,2015-01-02T10:00:00Z,2015-01-02,21,156
Birrarung Marr,2015-01-02T11:00:00Z,2015-01-02,22,105
Birrarung Marr,2015-01-02T12:00:00Z,2015-01-02,23,64
Birrarung Marr,2015-01-02T13:00:00Z,2015-01-03,0,54
Birrarung Marr,2015-01-02T14:00:00Z,2015-01-03,1,48
Birrarung Marr,2015-01-02T15:00:00Z,2015-01-03,2,24
Birrarung Marr,2015-01-02T16:00:00Z,2015-01-03,3,17
Birrarung Marr,2015-01-02T17:00:00Z,2015-01-03,4,3
Birrarung Marr,2015-01-02T18:00:00Z,2015-01-03,5,17
Birrarung Marr,2015-01-02T19:00:00Z,2015-01-03,6,82
Birrarung Marr,2015-01-02T20:00:00Z,2015-01-03,7,135
Birrarung Marr,2015-01-02T21:00:00Z,2015-01-03,8,121
Birrarung Marr,2015-01-02T22:00:00Z,2015-01-03,9,168
Birrarung Marr,2015-01-02T23:00:00Z,2015-01-03,10,99
Birrarung Marr,2015-01-03T00:00:00Z,2015-01-03,11,102
Birrarung Marr,2015-01-03T01:00:00Z,2015-01-03,12,164
Birrarung Marr,2015-01-03T02:00:00Z,2015-01-03,13,109
Birrarung Marr,2015-01-03T03:00:00Z,2015-01-03,14,109
Birrarung Marr,2015-01-03T04:00:00Z,2015-01-03,15,130
Birrarung Marr,2015-01-03T05:00:00Z,2015-01-03,16,169
Birrarung Marr,2015-01-03T06:00:00Z,2015-01-03,17,182
Birrarung Marr,2015-01-03T07:00:00Z,2015-01-03,18,226
Birrarung Marr,2015-01-03T08:00:00Z,2015-01-03,19,142
Birrarung Marr,2015-01-03T09:00:00Z,2015-01-03,20,127
Birrarung Marr,2015-01-03T10:00:00Z,2015-01-03,21,129
Birrarung Marr,2015-01-03T11:00:00Z,2015-01-03,22,91
Birrarung Marr,2015-01-03T12:00:00Z,2015-01-03,23,57
Birrarung Marr,2015-01-03T13:00:00Z,2015-01-04,0,45
Birrarung Marr,2015-01-03T14:00:00Z,2015-01-04,1,9
Birrarung Marr,2015-01-03T15:00:00Z,2015-01-04,2,15
Birrarung Marr,2015-01-03T16:00:00Z,2015-01-04,3,4
Birrarung Marr,2015-01-03T17:00:00Z,2015-01-04,4,6
Birrarung Marr,2015-01-03T18:00:00Z,2015-01-04,5,9
Birrarung Marr,2015-01-03T19:00:00Z,2015-01-04,6,40
Birrarung Marr,2015-01-03T20:00:00Z,2015-01-04,7,70
Birrarung Marr,2015-01-03T21:00:00Z,2015-01-04,8,96
Birrarung Marr,2015-01-03T22:00:00Z,2015-01-04,9,173
Birrarung Marr,2015-01-03T23:00:00Z,2015-01-04,10,194
Birrarung Marr,2015-01-04T00:00:00Z,2015-01-04,11,409
Birrarung Marr,2015-01-04T01:00:00Z,2015-01-04,12,516
Birrarung Marr,2015-01-04T02:00:00Z,2015-01-04,13,803
Birrarung Marr,2015-01-04T03:00:00Z,2015-01-04,14,824
Birrarung Marr,2015-01-04T04:00:00Z,2015-01-04,15,852
Birrarung Marr,2015-01-04T05:00:00Z,2015-01-04,16,767
Birrarung Marr,2015-01-04T06:00:00Z,2015-01-04,17,695
Birrarung Marr,2015-01-04T07:00:00Z,2015-01-04,18,369
Birrarung Marr,2015-01-04T08:00:00Z,2015-01-04,19,379
Birrarung Marr,2015-01-04T09:00:00Z,2015-01-04,20,260
Birrarung Marr,2015-01-04T10:00:00Z,2015-01-04,21,123
Birrarung Marr,2015-01-04T11:00:00Z,2015-01-04,22,75
Birrarung Marr,2015-01-04T12:00:00Z,2015-01-04,23,32
Birrarung Marr,2015-01-04T13:00:00Z,2015-01-05,0,16
Birrarung Marr,2015-01-04T14:00:00Z,2015-01-05,1,13
Birrarung Marr,2015-01-04T15:00:00Z,2015-01-05,2,3
Birrarung Marr,2015-01-04T16:00:00Z,2015-01-05,3,12
Birrarung Marr,2015-01-04T17:00:00Z,2015-01-05,4,41
Birrarung Marr,2015-01-04T18:00:00Z,2015-01-05,5,32
Birrarung Marr,2015-01-04T19:00:00Z,2015-01-05,6,127
Birrarung Marr,2015-01-04T20:00:00Z,2015-01-05,7,414
Birrarung Marr,2015-01-04T21:00:00Z,2015-01-05,8,681
Birrarung Marr,2015-01-04T22:00:00Z,2015-01-05,9,293
Birrarung Marr,2015-01-04T23:00:00Z,2015-01-05,10,306
Birrarung Marr,2015-01-05T00:00:00Z,2015-01-05,11,442
Birrarung Marr,2015-01-05T01:00:00Z,2015-01-05,12,538
Birrarung Marr,2015-01-05T02:00:00Z,2015-01-05,13,645
Birrarung Marr,2015-01-05T03:00:00Z,2015-01-05,14,478
Birrarung Marr,2015-01-05T04:00:00Z,2015-01-05,15,467
Birrarung Marr,2015-01-05T05:00:00Z,2015-01-05,16,663
Birrarung Marr,2015-01-05T06:00:00Z,2015-01-05,17,1392
Birrarung Marr,2015-01-05T07:00:00Z,2015-01-05,18,1427
Birrarung Marr,2015-01-05T08:00:00Z,2015-01-05,19,410
Birrarung Marr,2015-01-05T09:00:00Z,2015-01-05,20,182
Birrarung Marr,2015-01-05T10:00:00Z,2015-01-05,21,149
Birrarung Marr,2015-01-05T11:00:00Z,2015-01-05,22,501
Birrarung Marr,2015-01-05T12:00:00Z,2015-01-05,23,798
Birrarung Marr,2015-01-05T13:00:00Z,2015-01-06,0,32
Birrarung Marr,2015-01-05T14:00:00Z,2015-01-06,1,9
Birrarung Marr,2015-01-05T15:00:00Z,2015-01-06,2,5
Birrarung Marr,2015-01-05T16:00:00Z,2015-01-06,3,24
Birrarung Marr,2015-01-05T17:00:00Z,2015-01-06,4,25
Birrarung Marr,2015-01-05T18:00:00Z,2015-01-06,5,23
Birrarung Marr,2015-01-05T19:00:00Z,2015-01-06,6,152
Birrarung Marr,2015-01-05T20:00:00Z,2015-01-06,7,416
Birrarung Marr,2015-01-05T21:00:00Z,2015-01-06,8,747
Birrarung Marr,2015-01-05T22:00:00Z,2015-01-06,9,268
Birrarung Marr,2015-01-05T23:00:00Z,2015-01-06,10,299
Birrarung Marr,2015-01-06T00:00:00Z,2015-01-06,11,379
Birrarung Marr,2015-01-06T01:00:00Z,2015-01-06,12,692
Birrarung Marr,2015-01-06T02:00:00Z,2015-01-06,13,614
Birrarung Marr,2015-01-06T03:00:00Z,2015-01-06,14,440
Birrarung Marr,2015-01-06T04:00:00Z,2015-01-06,15,487
Birrarung Marr,2015-01-06T05:00:00Z,2015-01-06,16,548
Birrarung Marr,2015-01-06T06:00:00Z,2015-01-06,17,937
Birrarung Marr,2015-01-06T07:00:00Z,2015-01-06,18,718
Birrarung Marr,2015-01-06T08:00:00Z,2015-01-06,19,315
Birrarung Marr,2015-01-06T09:00:00Z,2015-01-06,20,264
Birrarung Marr,2015-01-06T10:00:00Z,2015-01-06,21,143
Birrarung Marr,2015-01-06T11:00:00Z,2015-01-06,22,94
Birrarung Marr,2015-01-06T12:00:00Z,2015-01-06,23,36
Birrarung Marr,2015-01-06T13:00:00Z,2015-01-07,0,26
Birrarung Marr,2015-01-06T14:00:00Z,2015-01-07,1,4
Birrarung Marr,2015-01-06T15:00:00Z,2015-01-07,2,4
Birrarung Marr,2015-01-06T16:00:00Z,2015-01-07,3,9
Birrarung Marr,2015-01-06T17:00:00Z,2015-01-07,4,20
Birrarung Marr,2015-01-06T18:00:00Z,2015-01-07,5,26
Birrarung Marr,2015-01-06T19:00:00Z,2015-01-07,6,154
Birrarung Marr,2015-01-06T20:00:00Z,2015-01-07,7,451
Birrarung Marr,2015-01-06T21:00:00Z,2015-01-07,8,662
Birrarung Marr,2015-01-06T22:00:00Z,2015-01-07,9,305
Birrarung Marr,2015-01-06T23:00:00Z,2015-01-07,10,218
Birrarung Marr,2015-01-07T00:00:00Z,2015-01-07,11,239
Birrarung Marr,2015-01-07T01:00:00Z,2015-01-07,12,288
Birrarung Marr,2015-01-07T02:00:00Z,2015-01-07,13,281
Birrarung Marr,2015-01-07T03:00:00Z,2015-01-07,14,173
Birrarung Marr,2015-01-07T04:00:00Z,2015-01-07,15,110
Birrarung Marr,2015-01-07T05:00:00Z,2015-01-07,16,289
Birrarung Marr,2015-01-07T06:00:00Z,2015-01-07,17,708
Birrarung Marr,2015-01-07T07:00:00Z,2015-01-07,18,438
Birrarung Marr,2015-01-07T08:00:00Z,2015-01-07,19,274
Birrarung Marr,2015-01-07T09:00:00Z,2015-01-07,20,200
Birrarung Marr,2015-01-07T10:00:00Z,2015-01-07,21,160
Birrarung Marr,2015-01-07T11:00:00Z,2015-01-07,22,108
Birrarung Marr,2015-01-07T12:00:00Z,2015-01-07,23,95
Birrarung Marr,2015-01-07T13:00:00Z,2015-01-08,0,21
Birrarung Marr,2015-01-07T14:00:00Z,2015-01-08,1,12
Birrarung Marr,2015-01-07T15:00:00Z,2015-01-08,2,9
Birrarung Marr,2015-01-07T16:00:00Z,2015-01-08,3,14
Birrarung Marr,2015-01-07T17:00:00Z,2015-01-08,4,33
Birrarung Marr,2015-01-07T18:00:00Z,2015-01-08,5,30
Birrarung Marr,2015-01-07T19:00:00Z,2015-01-08,6,117
Birrarung Marr,2015-01-07T20:00:00Z,2015-01-08,7,370
Birrarung Marr,2015-01-07T21:00:00Z,2015-01-08,8,501
Birrarung Marr,2015-01-07T22:00:00Z,2015-01-08,9,282
Birrarung Marr,2015-01-07T23:00:00Z,2015-01-08,10,220
Birrarung Marr,2015-01-08T00:00:00Z,2015-01-08,11,293
Birrarung Marr,2015-01-08T01:00:00Z,2015-01-08,12,438
Birrarung Marr,2015-01-08T02:00:00Z,2015-01-08,13,455
Birrarung Marr,2015-01-08T03:00:00Z,2015-01-08,14,386
