Quarter,Region,State,Purpose,Trips
1998 Q1,Adelaide,South Australia,Business,135.0776903
1998 Q2,Adelaide,South Australia,Business,109.987316
1998 Q3,Adelaide,South Australia,Business,166.0346866
1998 Q4,Adelaide,South Australia,Business,127.1604643
1999 Q1,Adelaide,South Australia,Business,137.4485333
1999 Q2,Adelaide,South Australia,Business,199.9125861
1999 Q3,Adelaide,South Australia,Business,169.3550898
1999 Q4,Adelaide,South Australia,Business,134.3579372
2000 Q1,Adelaide,South Australia,Business,154.034398
2000 Q2,Adelaide,South Australia,Business,168.7763637
2000 Q3,Adelaide,South Australia,Business,223.0651159
2000 Q4,Adelaide,South Australia,Business,241.2206893
2001 Q1,Adelaide,South Australia,Business,132.5000378
2001 Q2,Adelaide,South Australia,Business,178.3980945
2001 Q3,Adelaide,South Australia,Business,195.9963258
2001 Q4,Adelaide,South Australia,Business,101.1746931
2002 Q1,Adelaide,South Australia,Business,237.8327914
2002 Q2,Adelaide,South Australia,Business,150.7266327
2002 Q3,Adelaide,South Australia,Business,167.7128424
2002 Q4,Adelaide,South Australia,Business,140.3395127
2003 Q1,Adelaide,South Australia,Business,139.4467919
2003 Q2,Adelaide,South Australia,Business,159.6580081
2003 Q3,Adelaide,South Australia,Business,232.1073047
2003 Q4,Adelaide,South Australia,Business,158.5960175
2004 Q1,Adelaide,South Australia,Business,138.4674189
2004 Q2,Adelaide,South Australia,Business,229.7141455
2004 Q3,Adelaide,South Australia,Business,242.4943675
2004 Q4,Adelaide,South Australia,Business,123.0611006
2005 Q1,Adelaide,South Australia,Business,127.9992552
2005 Q2,Adelaide,South Australia,Business,73.2530124
2005 Q3,Adelaide,South Australia,Business,166.7247035
2005 Q4,Adelaide,South Australia,Business,122.2969489
2006 Q1,Adelaide,South Australia,Business,127.247714
2006 Q2,Adelaide,South Australia,Business,176.075701
2006 Q3,Adelaide,South Australia,Business,157.857561
2006 Q4,Adelaide,South Australia,Business,106.677495
2007 Q1,Adelaide,South Australia,Business,134.3680297
2007 Q2,Adelaide,South Australia,Business,168.5935923
2007 Q3,Adelaide,South Australia,Business,146.1038104
2007 Q4,Adelaide,South Australia,Business,134.5737045
2008 Q1,Adelaide,South Australia,Business,127.1683903
2008 Q2,Adelaide,South Australia,Business,151.9719803
2008 Q3,Adelaide,South Australia,Business,152.2058109
2008 Q4,Adelaide,South Australia,Business,160.6362718
2009 Q1,Adelaide,South Australia,Business,113.8600217
2009 Q2,Adelaide,South Australia,Business,152.7243494
2009 Q3,Adelaide,South Australia,Business,121.9832332
2009 Q4,Adelaide,South Australia,Business,191.1538074
2010 Q1,Adelaide,South Australia,Business,68.7253928
2010 Q2,Adelaide,South Australia,Business,182.18332
2010 Q3,Adelaide,South Australia,Business,120.5336824
2010 Q4,Adelaide,South Australia,Business,155.0707525
2011 Q1,Adelaide,South Australia,Business,109.699807
2011 Q2,Adelaide,South Australia,Business,148.4397274
2011 Q3,Adelaide,South Australia,Business,140.65746239999999
2011 Q4,Adelaide,South Australia,Business,148.815411
2012 Q1,Adelaide,South Australia,Business,126.8571108
2012 Q2,Adelaide,South Australia,Business,154.920891
2012 Q3,Adelaide,South Australia,Business,150.0191305
2012 Q4,Adelaide,South Australia,Business,178.3637579
2013 Q1,Adelaide,South Australia,Business,101.6471351
2013 Q2,Adelaide,South Australia,Business,100.6409434
2013 Q3,Adelaide,South Australia,Business,179.8741671
2013 Q4,Adelaide,South Australia,Business,142.8077977
2014 Q1,Adelaide,South Australia,Business,138.8302798
2014 Q2,Adelaide,South Australia,Business,154.5054125
2014 Q3,Adelaide,South Australia,Business,185.6021634
2014 Q4,Adelaide,South Australia,Business,168.3471197
2015 Q1,Adelaide,South Australia,Business,142.7914525
2015 Q2,Adelaide,South Australia,Business,167.9152552
2015 Q3,Adelaide,South Australia,Business,176.4594617
2015 Q4,Adelaide,South Australia,Business,186.7256903
2016 Q1,Adelaide,South Australia,Business,182.0982561
2016 Q2,Adelaide,South Australia,Business,187.8089202
2016 Q3,Adelaide,South Australia,Business,195.9832501
2016 Q4,Adelaide,South Australia,Business,152.4288872
2017 Q1,Adelaide,South Australia,Business,129.0288286
2017 Q2,Adelaide,South Australia,Business,173.7363936
2017 Q3,Adelaide,South Australia,Business,185.3025775
2017 Q4,Adelaide,South Australia,Business,197.2800029
1998 Q1,Adelaide,South Australia,Holiday,223.5574059
1998 Q2,Adelaide,South Australia,Holiday,130.287369
1998 Q3,Adelaide,South Australia,Holiday,156.089398
1998 Q4,Adelaide,South Australia,Holiday,182.3289795
1999 Q1,Adelaide,South Australia,Holiday,185.33188
1999 Q2,Adelaide,South Australia,Holiday,134.6696903
1999 Q3,Adelaide,South Australia,Holiday,136.0347311
1999 Q4,Adelaide,South Australia,Holiday,168.6863799
2000 Q1,Adelaide,South Australia,Holiday,184.1202637
2000 Q2,Adelaide,South Australia,Holiday,134.3627013
