Week,Airports,Class,Passengers
1989 W28,ADL-PER,Business,193
1989 W29,ADL-PER,Business,254
1989 W30,ADL-PER,Business,185
1989 W31,ADL-PER,Business,254
1989 W32,ADL-PER,Business,191
1989 W33,ADL-PER,Business,136
1989 W34,ADL-PER,Business,0
1989 W35,ADL-PER,Business,0
1989 W36,ADL-PER,Business,0
1989 W37,ADL-PER,Business,0
1989 W38,ADL-PER,Business,0
1989 W39,ADL-PER,Business,0
1989 W40,ADL-PER,Business,0
1989 W41,ADL-PER,Business,0
1989 W42,ADL-PER,Business,0
1989 W43,ADL-PER,Business,23
1989 W44,ADL-PER,Business,9
1989 W45,ADL-PER,Business,0
1989 W46,ADL-PER,Business,0
1989 W47,ADL-PER,Business,0
1989 W48,ADL-PER,Business,0
1989 W49,ADL-PER,Business,28
1989 W50,ADL-PER,Business,163
1989 W51,ADL-PER,Business,68
1989 W52,ADL-PER,Business,73
1990 W01,ADL-PER,Business,120
1990 W02,ADL-PER,Business,105
1990 W03,ADL-PER,Business,119
1990 W04,ADL-PER,Business,141
1990 W05,ADL-PER,Business,176
1990 W06,ADL-PER,Business,192
1990 W07,ADL-PER,Business,192
1990 W08,ADL-PER,Business,167
1990 W09,ADL-PER,Business,191
1990 W10,ADL-PER,Business,172
1990 W11,ADL-PER,Business,268
1990 W12,ADL-PER,Business,303
1990 W13,ADL-PER,Business,279
1990 W14,ADL-PER,Business,162
1990 W15,ADL-PER,Business,166
1990 W16,ADL-PER,Business,198
1990 W17,ADL-PER,Business,249
1990 W18,ADL-PER,Business,219
1990 W19,ADL-PER,Business,195
1990 W20,ADL-PER,Business,210
1990 W21,ADL-PER,Business,202
1990 W22,ADL-PER,Business,205
1990 W23,ADL-PER,Business,182
1990 W24,ADL-PER,Business,238
1990 W25,ADL-PER,Business,172
1990 W26,ADL-PER,Business,174
1990 W27,ADL-PER,Business,208
1990 W28,ADL-PER,Business,201
1990 W29,ADL-PER,Business,218
1990 W30,ADL-PER,Business,244
1990 W31,ADL-PER,Business,231
1990 W32,ADL-PER,Business,209
1990 W33,ADL-PER,Business,228
1990 W34,ADL-PER,Business,214
1990 W35,ADL-PER,Business,228
1990 W36,ADL-PER,Business,255
1990 W37,ADL-PER,Business,247
1990 W38,ADL-PER,Business,127
1990 W39,ADL-PER,Business,222
1990 W40,ADL-PER,Business,239
1990 W41,ADL-PER,Business,270
1990 W42,ADL-PER,Business,261
1990 W43,ADL-PER,Business,238
1990 W44,ADL-PER,Business,284
1990 W45,ADL-PER,Business,267
1990 W46,ADL-PER,Business,317
