Quarter,Beer,Tobacco,Bricks,Cement,Electricity,Gas
1956 Q1,284,5225,189,465,3923,5
1956 Q2,213,5178,204,532,4436,6
1956 Q3,227,5297,208,561,4806,7
1956 Q4,308,5681,197,570,4418,6
1957 Q1,262,5577,187,529,4339,5
1957 Q2,228,5651,214,604,4811,7
1957 Q3,236,5317,227,603,5259,7
1957 Q4,320,6152,222,582,4735,6
1958 Q1,272,5758,199,554,4608,5
1958 Q2,233,5641,229,620,5196,7
1958 Q3,237,5802,249,646,5609,8
1958 Q4,313,6265,234,637,4977,6
1959 Q1,261,5478,208,573,4883,5
1959 Q2,227,5892,251,673,5744,7
1959 Q3,250,5952,267,690,6035,8
1959 Q4,314,6597,255,681,5514,6
1960 Q1,286,5980,242,621,5387,6
1960 Q2,227,6154,268,698,6211,8
1960 Q3,260,5478,290,753,6659,8
1960 Q4,311,6716,277,728,5983,7
1961 Q1,295,6022,241,688,5709,6
1961 Q2,233,6070,253,737,6458,7
1961 Q3,257,6303,265,742,6875,8
1961 Q4,339,6693,236,692,6162,6
1962 Q1,279,6072,229,637,6098,6
1962 Q2,250,6112,265,757,7075,8
1962 Q3,270,6146,275,783,7595,8
1962 Q4,346,6787,258,757,6891,7
1963 Q1,294,6051,231,674,6707,6
1963 Q2,255,6259,263,774,7874,8
1963 Q3,278,6348,308,835,8555,9
1963 Q4,363,6883,313,838,7503,7
1964 Q1,313,5890,293,797,7469,6
1964 Q2,273,6365,328,904,8829,8
1964 Q3,300,7373,349,949,9513,9
1964 Q4,370,6768,340,975,8415,7
1965 Q1,331,6201,309,902,8170,6
1965 Q2,288,6332,349,974,9503,8
1965 Q3,306,7213,366,969,10306,9
1965 Q4,386,6600,340,967,9077,7
1966 Q1,335,5522,302,849,8650,6
1966 Q2,288,6184,350,961,10180,8
1966 Q3,308,7202,362,966,11234,10
1966 Q4,402,6599,337,922,9836,7
1967 Q1,353,5801,306,836,9490,6
1967 Q2,316,6771,358,998,10991,9
1967 Q3,325,6837,359,1025,12170,10
1967 Q4,405,6685,357,971,10470,7
1968 Q1,393,6255,341,892,10087,6
1968 Q2,319,6977,380,973,11858,9
1968 Q3,327,7417,404,1047,13198,11
